1h;4h;7h;10h;13h;16h;19h;22h
0.208333333;0.816666667;1;0.183333333;0.225;0.220833333;0.3125;0.616666667
0;0;0.454545455;1;0;0.590909091;0;0
0;0;1;0;0;0;0;0.8
0;0;1;0.75;0;0;0;0.8
0;0;0.555555556;0.416666667;1;0;0;0
0.510204082;0.397959184;0.816326531;0.153061224;0;0.265306122;0;1
0;0;0.4;0.3;0;0;1;0
0;0.325;1;0.725;0.15;0.658333333;0.208333333;0.133333333
0.425531915;1;0.085106383;0.063829787;0;0.225531915;0;0.417021277
0;0.4875;1;0.3625;0.675;0.6625;0;0
0;0;1;0;0;0;0;0
0;1;0.512820513;0.384615385;0;0;0;0.41025641
0.311394892;0.70464964;1;0.413883432;0.6702685;0.172233137;0.262933857;0.998362803
0.91809291;0.717603912;1;0.070904645;0.02200489;0.41809291;0.091687042;0.200488998
0;0;1;0.15;0;0;0.25;0
0.29455081;0.114874816;1;0.385861561;0.369661267;0.54197349;0.259204713;0.144329897
1;0.782857143;0.514285714;0.208571429;0.102857143;0.074285714;0.142857143;0.188571429
0;0;0.703409091;0.594318182;1;0.089772727;0.7125;0.168181818
0.583916084;0.684149184;1;0.660839161;0.22960373;0.459207459;0.234265734;0.553613054
0.249222153;0.426260112;1;0.36621033;0.586496577;0.187927816;0.210952085;0.673304294
0;0;0;1;0;0;0.862068966;0
0.212765957;1;0.936170213;0.740425532;0.153191489;0.110638298;0.212765957;0.34893617
0.27173913;0.355072464;0.471014493;1;0.748188406;0.476449275;0.364130435;0.237318841
0;1;0;0.192307692;0;0;0;0
0.729927007;1;0.072992701;0.47810219;0.262773723;0.288321168;0;0.058394161
0.338294993;0.158322057;1;0.629228687;0.121786198;0.355886333;0.135317997;0.089309878
0;0;0;0.277777778;1;0;0.925925926;0
1;0.846794338;0.980849292;0.726061615;0.492922565;0.502914238;0.271440466;0.573688593
0.3125;0.4875;1;0.81875;0.3375;0.1625;0.3125;0.20625
0.383437717;0.35421016;1;0.636743215;0.337508699;0.329157968;0.297146834;0.524704245
0.429184549;0.503576538;1;0.416309013;0.180257511;0.300429185;0.178826896;0.30472103
0;0;1;0.375;0.45;0.65;0;0.4
0.639846743;1;0.765006386;0.334610473;0.114942529;0.234993614;0.19284802;0.523627075
0.623915444;1;0.620287112;0.447073671;0.353999053;0.410474838;0.150496924;0.230162486
0.08605852;0.270223752;0.686746988;1;0.648881239;0.769363167;0.647160069;0.141135972
0;0.722222222;0.740740741;0.537037037;1;0.981481481;0;0
0.675675676;0.790540541;0.945945946;0.493243243;0.121621622;0.709459459;0.168918919;1
0;0.53414264;1;0.220030349;0.273141123;0.039453718;0;0.074355083
0.233236152;0.433819242;0.989504373;1;0.481632653;0.214577259;0.29271137;0.688046647
